Loan ID,Customer ID,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
0f61ec3c-4456-43b2-8683-66f1a81a4da3,516a3ce2-1c5d-4e2c-95ad-0d012e2b5eb0,346368,Long Term,721,679421,7 years,Rent,Debt Consolidation,19193.61,27.6,,12,0,416062,585376,0,0
23cacdc8-b2d8-456c-8b9e-8ec4f0478a4a,57232bf5-244c-4ec1-9236-a77710b90a9e,279796,Short Term,747,1286186,3 years,Rent,Debt Consolidation,19721.62,14,,9,0,302385,394284,0,0
d014fc06-2071-442c-ae60-1110aa1e047a,60fb8959-7747-4683-91d3-27c3789fe6a3,773630,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,42807.76,22.5,,9,0,1190825,1532058,0,0
f2251432-c50c-490d-9639-753947a5653b,70f2e658-04f7-43dd-9657-28893a683db5,318230,Long Term,690,611762,10+ years,Home Mortgage,Debt Consolidation,17690.14,18,,13,0,171475,390874,0,0
2691d356-b3f4-4b48-947b-8199ddb442c0,1212d674-6b15-4891-bdaf-8ca4ac8c0605,132836,Short Term,694,803035,4 years,Rent,Educational Expenses,16461.98,13.5,23,9,0,106780,128414,0,0
cd12ab15-18a0-4bf0-a32e-13f3edf5ea34,7fc29790-4c00-42c5-b67d-809e8c88c4ad,280060,Short Term,,,3 years,Home Mortgage,Home Improvements,11837.76,24.6,,5,0,137085,560846,0,0
b9fdea9b-774a-47b1-9603-cea01fb94999,a78767be-3b1c-4fad-9f28-56df8ed3d0db,174350,Short Term,702,301758,,Rent,Debt Consolidation,5230.32,9.4,,7,1,142937,357478,1,0
f20cc2bf-ec3b-4e7d-b789-9c704bfd72b3,0f5df877-bd1f-4391-878b-da1a22556f5b,400510,Long Term,,,8 years,Home Mortgage,Debt Consolidation,40867.29,22.6,,12,2,309681,581152,1,1
e8143872-7691-41fe-ac8e-5bc5e858cfae,1efa188a-559b-4508-89b9-9a8cb2ed8dde,152482,Short Term,,,3 years,Rent,Debt Consolidation,6528.4,17.7,60,8,0,123709,337810,0,0
e15078a8-8a0f-4c37-b90e-fd827e1ac51d,c350b615-de5f-4f77-aeb1-34366b6f3e54,99999999,Short Term,744,1451619,4 years,Home Mortgage,Debt Consolidation,18145.19,14.5,31,18,1,247057,402908,1,0
eb889255-ba6c-4f54-9696-bf1accf29c60,e0e91156-5cca-43a1-ac2a-2ca25463ecf0,99999999,Short Term,721,2022531,10+ years,Own Home,Debt Consolidation,22247.86,21,26,7,1,14630,105952,1,0
6aae7ebf-f0c6-4a6c-950e-570e6b12ac4e,1fb08359-e932-49a1-b288-36a07128b564,176198,Short Term,746,568347,3 years,Rent,Debt Consolidation,11745.8,25.7,16,6,0,161253,242176,0,0
5d820865-bafc-4105-8e0e-1e505c86290f,1a43ffc2-d6f5-4734-bb0c-52287be5c9b2,99999999,Short Term,716,1183358,10+ years,HaveMortgage,Take a Trip,3510.63,15.9,66,7,0,164046,284790,0,0
63f72a77-5039-430c-9448-1d6f5fb1c252,30c0ed77-7a18-4f6a-b755-07498d8d8b51,351912,Short Term,,,10+ years,Home Mortgage,Business Loan,14703.72,22.3,,16,0,400387,2934250,0,0
6bb9d20c-034d-4f11-82e5-391d3425506e,d9b0e8fc-f36a-403b-80f8-9b8e7ce5389c,99999999,Short Term,738,2275440,10+ years,Rent,Debt Consolidation,12894.16,24.1,,16,0,269306,1194710,0,0
d57626b0-ac67-4946-b657-94751c179057,ab872f46-97f8-4b87-a1ee-be3a1dc59ca9,261844,Short Term,729,1394467,3 years,Home Mortgage,Debt Consolidation,14874.34,16.6,46,11,0,294158,573408,0,0
cf149b37-0f6f-4e3b-9051-531138d968ca,3170d161-62cd-4ab1-b6c8-69ece99b7294,461054,Short Term,696,1124268,10+ years,Rent,Debt Consolidation,16676.68,18.4,47,9,0,107312,421212,0,0
3d259751-f17b-4760-9218-46d99ebbac48,4a43148a-efbb-48d4-9531-20f1eaf3c493,24464,Short Term,729,2015957,< 1 year,Rent,other,14027.7,6.8,,7,0,101593,768790,0,0
2b1756ec-526d-4201-b617-c08b73853ed3,645cc494-6c5e-4fc0-89bb-bc093e875f37,645150,Long Term,720,1526669,10+ years,Home Mortgage,Debt Consolidation,21627.7,19.5,27,12,0,586340,847572,0,0
1adf0dcb-2d22-43c4-aa1d-dba665484cb1,ee296960-ffd6-4855-b8c5-c38a5843973c,90156,Short Term,720,1459770,7 years,Home Mortgage,Home Improvements,10352.34,12.3,,12,0,225378,343816,0,0
fee4d19f-b4d8-43d8-8fd0-bdb4d205b244,be3abb47-3d60-4969-823e-a5706549694d,225478,Long Term,688,757511,5 years,Home Mortgage,Debt Consolidation,13256.3,12,,7,0,150746,250426,0,0
2b1c1c46-558f-405e-8e77-be173829fe98,f6f6026f-3b61-4c79-a6d6-2dab904e7fee,326216,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,13225.33,20.9,6,9,0,51091,318032,0,0
5a9befc9-3798-4776-9484-07bb993186e1,0a8be47d-5064-42fe-a54a-c9ee56592426,99999999,Short Term,748,1341951,10+ years,Home Mortgage,Debt Consolidation,16438.8,19.9,,17,0,321290,941798,0,0
fe0a43aa-e00c-4dfa-befe-98cf0fdb0a58,6272b2b4-5655-4dbe-acb5-93e40dfaa138,248116,Long Term,661,669655,2 years,Rent,Debt Consolidation,8147.39,12.6,16,6,0,81605,170566,0,0
20bbac91-53bb-4067-8e8e-c7c9dcf09e84,52896530-7ea1-4337-be05-225dbcfea2fc,140932,Short Term,712,764750,10+ years,Rent,Debt Consolidation,21221.67,25.6,13,12,0,455962,1145232,0,0
e632c385-c5e9-453d-954d-533ef0e3ac06,23d0203f-a29e-4c08-9487-3587703a1b95,449196,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,29274.06,20.7,38,13,0,223953,375276,0,0
42158274-dcf0-4f3f-9559-9f61b18d98a4,cef9a954-2893-4bec-83e4-e0e8d2d45fcc,628254,Short Term,747,2461013,10+ years,Home Mortgage,Debt Consolidation,18478.26,12,,15,0,241908,1333882,0,0
7275d039-c4be-411f-a7f8-68cdd3c5e77e,c9e013fa-3862-47dc-a899-e8fd2273c0aa,108768,Short Term,731,1089555,9 years,Home Mortgage,Debt Consolidation,17160.42,19.7,29,17,0,238260,544126,0,0
efcbf831-ec9c-4ac9-a07e-74d800830abd,5f8ceb31-1b5a-4654-9e65-0a729fe95388,643566,Long Term,,,9 years,Home Mortgage,Debt Consolidation,44486.79,12.5,,22,0,1381889,2867502,0,0
31377424-34ad-4fde-8fc4-a4472e6f0817,36608de1-e9b0-45d5-83f2-af341691474e,380204,Short Term,733,772616,4 years,Own Home,Debt Consolidation,10301.42,31.7,48,7,0,182571,306372,0,0
0651a82b-e47a-4966-a576-ad035c2d4c41,b3678f5d-13a0-4ea9-aa28-142179645ec5,441320,Short Term,736,1333990,5 years,Home Mortgage,Business Loan,20565.79,34.2,39,22,0,110542,1084776,0,0
2f23b2cc-53b0-469a-b69c-a0f565f3c1fc,5c59bb1e-f33b-457a-aa13-784a6cc29285,258302,Short Term,730,743584,2 years,Home Mortgage,Debt Consolidation,7807.67,10.8,,10,0,155591,488246,0,0
763746f5-5426-40b0-a218-bfa5700724df,5cd4e991-c1df-4381-b843-e935f56c9e57,216238,Short Term,658,1313774,,Rent,Debt Consolidation,29231.5,10,,25,2,176244,708620,1,1
e8d226f7-b0ba-4a05-8d22-67ff3f805777,2ccb6877-ea6a-468a-be39-861d16187e0d,302698,Short Term,739,1403226,7 years,Rent,Debt Consolidation,16137.08,13.1,,11,0,245366,843062,0,0
e9aafcb1-4682-445a-86b1-dea18119c2f0,795a6a50-1814-4adf-b4d0-2a866987a04f,162712,Short Term,737,1873552,10+ years,Home Mortgage,Debt Consolidation,19828.4,18.7,,14,0,373920,498234,0,0
0c441d8e-456b-4542-b2cb-e9c9990e7332,4dc3cfea-bc5b-477a-a904-472708cd8e1e,69212,Short Term,750,5641024,10+ years,Home Mortgage,Other,46209.33,24.2,6,19,0,636272,2472294,0,0
0eed7e8e-27c4-4209-9829-165fa20044ff,225512ac-4485-4d55-8488-229e3e20b16f,99999999,Short Term,746,2244774,10+ years,Own Home,Debt Consolidation,22447.74,21.8,33,10,0,225036,356444,0,0
664a0815-31e2-4349-b3b4-ce77c10b3796,27a287d6-00b3-4f1c-aa45-a3bf33f0b607,120340,Short Term,741,723729,5 years,Rent,Debt Consolidation,13509.76,8.7,,11,0,64049,152592,0,0
0f5c86bd-33ba-418c-ba2e-9122f57c0a76,cd9cca59-7423-418a-949b-6062605f4660,392282,Short Term,,,4 years,Rent,Debt Consolidation,46410.35,16.5,31,17,0,602737,913484,0,0
28eae503-da2e-4795-bcdb-23379efd29de,42917679-07e4-4e80-8870-a06c90d8f44d,756382,Short Term,715,2706246,10+ years,Home Mortgage,Debt Consolidation,60439.19,22.3,,8,0,1163047,1446478,0,0
92630562-535e-4623-81d7-88d410b55eb3,483a20df-a22b-4b55-be7b-1e0a2d865249,99999999,Long Term,704,937080,3 years,Rent,Debt Consolidation,11791.59,12,,4,0,132088,273130,0,0
37ee7ac6-f5d8-46fe-94c1-2748e600edb0,8c4c46eb-ac9b-4334-b2f7-6ac5f0808681,134068,Short Term,727,946143,10+ years,Rent,Debt Consolidation,22628.43,23,12,15,0,86469,254782,0,0
11f49297-7d9a-4118-8f68-633e1e5fb7dd,bb030f41-aa8b-4a86-8b76-9e50873cdc54,112090,Short Term,712,2284370,10+ years,Home Mortgage,Medical Bills,50256.14,34.9,,23,0,2360332,4297194,0,0
c3e8695f-bdd8-4bc2-8e9a-c736b7a45532,737ff3bc-ae26-40a1-8e99-5ac863362646,110176,Short Term,725,666064,< 1 year,Rent,Debt Consolidation,8436.76,18.4,,7,0,90174,669262,0,0
f70b5570-ae19-4932-bc0d-85e127ff02e0,448a4013-3e74-40b9-8b38-2abb0a493b6b,174416,Short Term,743,2027718,1 year,Home Mortgage,Home Improvements,28050.08,20.9,14,15,0,124716,465828,0,0
2b4ca308-1d0e-48a5-b228-04a3f79d6622,d0d55902-6fa1-4961-9275-a78818ebd5ee,99999999,Short Term,743,860130,6 years,Home Mortgage,Debt Consolidation,13332.11,14.1,,6,0,88426,232166,0,0
7d1c0061-0063-44f6-8b95-7711920e99da,714e5d1a-a389-4f60-840b-81e4532575ad,324654,Long Term,600,9346100,10+ years,Home Mortgage,other,77884.23,30.4,18,10,1,182115,224818,0,1
fdddf189-b1b4-40b5-b6a6-63112e8207f9,e800b3d9-222f-4c16-bc00-332943e387c1,436524,Long Term,,,8 years,Rent,Debt Consolidation,19467.21,21.1,46,13,0,335293,1112430,0,0
1fcf78f3-dbfa-4c06-ad7b-f0ecf02d148e,26c3965b-a212-49e9-b44b-40485d95f4e9,539308,Long Term,719,1050966,9 years,Home Mortgage,Debt Consolidation,29776.99,17.4,33,13,0,469756,779284,0,0
cd0c27bc-5289-4c23-a589-058fb691b43f,f78f96e4-9f79-4d44-aa25-572cced0eec3,430936,Short Term,716,2419118,10+ years,Home Mortgage,Debt Consolidation,28223.17,22.1,41,13,0,316825,705496,0,0
71f9269f-adf4-4da8-af89-772e3041ee8d,95afe69c-2f56-4493-a6cc-a937078c1631,321552,Short Term,718,957600,3 years,Rent,Debt Consolidation,7357.56,23.6,,12,1,343121,1294150,1,0
99c9afb7-d621-4ae4-be40-dfd4e2972836,37dbc0cc-cb4d-4fd7-bbcd-35ca44c23df3,331386,Short Term,,,2 years,Rent,Debt Consolidation,11924.97,23,6,31,0,280440,1047464,0,0
274253e1-41e4-44d8-80b8-3d43cb17c94d,8ad88c36-d5d5-46fc-853d-c10b082d73a7,764852,Short Term,722,3793407,6 years,Home Mortgage,Debt Consolidation,97996.49,25.8,9,14,0,4778671,6080426,0,0
67f62b40-5114-4fb4-9f54-8ba56bdc324b,c8e41518-706a-469e-9883-4433c114e7b4,439912,Short Term,725,2374525,10+ years,Home Mortgage,Home Improvements,26911.41,17.5,78,9,0,1893597,2526018,0,0
ac295446-d04c-4c2f-b5fb-ee36025b2eb3,7a8e47fb-493b-4421-ab05-010d6ccf822c,99999999,Short Term,737,1179862,10+ years,Rent,Debt Consolidation,21729.16,20.5,,6,0,248311,494868,0,0
